X,Y,ASCII,Foreground,Background
10,10,8,#BFBFBF,#0A0A0A
11,10,186,#665233,#0A0A0A
12,10,186,#665233,#0A0A0A
0,11,192,#665233,#0A0A0A
1,11,197,#665233,#0A0A0A
2,11,196,#665233,#0A0A0A
3,11,189,#665233,#0A0A0A
4,11,255,#BFBFBF,#0A0A0A
5,11,218,#665233,#0A0A0A
6,11,196,#665233,#0A0A0A
7,11,196,#665233,#0A0A0A
8,11,183,#665233,#0A0A0A
9,11,212,#665233,#0A0A0A
10,11,205,#665233,#0A0A0A
11,11,206,#665233,#0A0A0A
12,11,188,#665233,#0A0A0A
0,12,32,#665233,#0A0A0A
1,12,192,#665233,#0A0A0A
2,12,196,#665233,#0A0A0A
3,12,196,#665233,#0A0A0A
4,12,196,#665233,#0A0A0A
5,12,217,#665233,#0A0A0A
6,12,32,#665233,#0A0A0A
7,12,32,#665233,#0A0A0A
8,12,200,#665233,#0A0A0A
9,12,205,#665233,#0A0A0A
10,12,205,#665233,#0A0A0A
11,12,188,#665233,#0A0A0A
12,12,32,#665233,#0A0A0A
